,county,year,Avg_Tempmin,Avg_Tempmax
708,540,1968,43.0,66.0
709,540,1969,43.0,65.0
710,540,1970,44.0,67.0
711,540,1971,44.0,67.0
712,540,1972,43.0,65.0
713,540,1973,45.0,67.0
714,540,1974,44.0,67.0
715,540,1975,44.0,66.0
716,540,1976,42.0,66.0
717,540,1977,43.0,67.0
718,540,1978,43.0,65.0
719,540,1979,43.0,65.0
720,540,1980,44.0,66.0
721,540,1981,43.0,66.0
722,540,1982,44.0,66.0
723,540,1983,44.0,66.0
724,540,1984,45.0,67.0
725,540,1985,45.0,67.0
726,540,1986,45.0,67.0
727,540,1987,45.0,67.0
728,540,1988,43.0,67.0
729,540,1989,44.0,66.0
730,540,1990,46.0,70.0
731,540,1991,46.0,69.0
732,540,1992,45.0,65.0
733,540,1993,45.0,67.0
734,540,1994,45.0,68.0
735,540,1995,45.0,67.0
736,540,1996,44.0,66.0
737,540,1997,44.0,67.0
738,540,1998,47.0,70.0
739,540,1999,45.0,69.0
740,540,2000,44.0,67.0
741,540,2001,45.0,69.0
742,540,2002,46.0,69.0
743,540,2003,45.0,66.0
744,540,2004,46.0,67.0
745,540,2005,46.0,68.0
746,540,2006,46.0,69.0
747,540,2007,46.0,69.0
748,540,2008,45.0,68.0
749,540,2009,45.0,66.0
750,540,2010,46.0,69.0
751,540,2011,47.0,69.0
752,540,2012,47.0,70.0
753,540,2013,45.0,66.0
754,540,2014,44.0,66.0
755,540,2015,46.0,68.0
756,540,2016,47.0,69.0
757,540,2017,47.0,69.0
758,540,2018,47.0,67.0
759,540,2019,47.0,69.0
760,540,2020,48.0,69.0
761,540,2021,,
